benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
pmd;J9;Optthruput;2;4198595.813999999;218050000.0;50950000.0;0
pmd;OPEN;default;2;4768287.029999998;311890000.0;72830000.0;0
pmd;OPEN;G1;2;4748170.23;320090000.0;74090000.0;0
pmd;OPEN;5Parallel;2;4813824.598;311620000.0;71920000.0;0
pmd;OPEN;5Concurent;2;4800130.5139999995;308050000.0;71060000.0;0
pmd;OPEN;1Parallel;2;5221540.43;349880000.0;80930000.0;0
pmd;OPEN;1Concurent;2;4903205.657;319350000.0;73670000.0;0
pmd;OPEN;DisableExplicitGC;2;4805529.886999999;306980000.0;72310000.0;0
pmd;OPEN;ParallelCG;2;4769961.993;301930000.0;69320000.0;0
pmd;OPEN;ParallelOldGC;2;4878150.256999998;315060000.0;71700000.0;0
pmd;OPEN;SerialGC;2;4807215.566000001;299000000.0;69550000.0;0
pmd;OPEN;Epsilon;2;5247665.376999998;326950000.0;78130000.0;0
sunflow;Graal;default;2;4661772.483;337590000.0;74250000.0;0
sunflow;Graal;G1;2;4837600.632;335760000.0;73810000.0;0
sunflow;Graal;5Parallel;2;5294002.642;389020000.0;83170000.0;0
sunflow;Graal;5Concurent;2;5098618.613;369570000.0;76780000.0;0
sunflow;Graal;1Parallel;2;4756986.583000001;317710000.0;70130000.0;0
sunflow;Graal;1Concurent;2;4749449.561000001;337100000.0;71810000.0;0
sunflow;Graal;DisableExplicitGC;2;4606308.421999998;338360000.0;73470000.0;0
sunflow;Graal;ParallelCG;2;4694851.898;332700000.0;71880000.0;0
sunflow;Graal;ParallelOldGC;2;4939467.983;352810000.0;75460000.0;0
sunflow;J9;default;2;6700583.456;501920000.0;105370000.0;0
sunflow;J9;ConcurrentScavenge;2;7103230.832;533990000.0;113370000.0;0
sunflow;J9;ScvNoAdaptiveTenure;2;7815358.977000001;591290000.0;120720000.0;0
sunflow;J9;Balanced;2;6942552.953;530960000.00000006;110240000.0;0
sunflow;J9;Gencon;2;6648544.292;507040000.0;104620000.0;0
sunflow;J9;Metronome;2;5725805.310000001;409490000.0;79700000.0;0
sunflow;J9;Nogc;2;7205705.243;539070000.0;106990000.0;0
sunflow;J9;Optavgpause;2;6654698.065;465410000.0;97490000.0;0
sunflow;J9;Optthruput;2;5804561.109;419770000.0;83790000.0;0
sunflow;OPEN;default;2;4777523.796;356880000.0;75720000.0;0
sunflow;OPEN;G1;2;4528541.124;328470000.0;68170000.0;0
sunflow;OPEN;5Parallel;2;4751477.79;345460000.0;72400000.0;0
sunflow;OPEN;5Concurent;2;4284191.913;297560000.0;64230000.00000001;0
sunflow;OPEN;1Parallel;2;4408361.408;300720000.0;64500000.0;0
sunflow;OPEN;1Concurent;2;4863384.143;349190000.0;74150000.0;0
sunflow;OPEN;DisableExplicitGC;2;5120308.048;381510000.0;80970000.0;0
sunflow;OPEN;ParallelCG;2;4495227.796;323270000.0;69330000.0;0
sunflow;OPEN;ParallelOldGC;2;4452833.8429999985;315620000.0;67500000.0;0
sunflow;OPEN;SerialGC;2;4856436.5430000005;359220000.0;77930000.0;0
sunflow;OPEN;Epsilon;2;3743540.3039999995;217890000.0;50620000.0;0
avrora;Graal;default;3;76587963.20099999;4186630000.0;996730000.0;0
avrora;Graal;G1;3;72715988.42;3834600000.0;945720000.0;0
avrora;Graal;5Parallel;3;74619474.573;3997890000.0;972480000.0;0
avrora;Graal;5Concurent;3;75578675.589;4101330000.0;988850000.0;0
avrora;Graal;1Parallel;3;76239697.237;4165550000.0;993720000.0;0
avrora;Graal;1Concurent;3;73936950.15;3834440000.0;963190000.0;0
avrora;Graal;DisableExplicitGC;3;75452108.624;4085310000.0;983160000.0;0
avrora;Graal;ParallelCG;3;73794318.02399999;3891110000.0;961370000.0;0
avrora;Graal;ParallelOldGC;3;77709835.17099999;4227100000.000001;1012230000.0;0
avrora;J9;default;3;35979900.951;2352410000.0;483820000.0;0
