benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
sunflow;20.2.0.r11-grl;default;2;0;5139332;81863843;367704382
sunflow;20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;5265652;80795766;372954307
sunflow;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;4984566;74816251;359142452
sunflow;15.0.1.j9-adpt;default;2;0;6734973;101068006;481331959
sunflow;15.0.1.j9-adpt; -XcompilationThreads1;2;0;6946175;103677252;510138342
sunflow;15.0.1.j9-adpt; -XcompilationThreads3;2;0;6048976;89946909;425667794
sunflow;15.0.1.j9-adpt; -XcompilationThreads7;2;0;6253938;94017995;440703095
sunflow;15.0.1.j9-adpt; -Xjit:count=0;2;0;18548113;256639369;962086588
sunflow;15.0.1.j9-adpt; -Xjit:count=1;2;0;6636135;96308634;491039758
sunflow;15.0.1.j9-adpt; -Xjit:count=10;2;0;7596572;114917076;573490415
sunflow;15.0.1.j9-adpt; -Xjit:count=100;2;0;6327322;96556113;473586251
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;5528381;77327225;385460195
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;4859023;71584921;337748707
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;6383388;93507251;499164677
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;15802764;220181322;1519805008
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;16399129;226526384;1584404697
sunflow;15.0.1-open;default;2;0;4717214;72069625;333595520
sunflow;15.0.1-open; -XX:-TieredCompilation;2;0;5261960;83506743;393586272
sunflow;15.0.1-open; -XX:TieredStopAtLevel=1;2;0;3978381;55551882;266156790
sunflow;15.0.1-open; -XX:TieredStopAtLevel=4;2;0;4230940;65792708;304263870
sunflow;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;4916431;78798090;368711825
als;20.2.0.r11-grl;default;2;0;45124091;662141925;2852517784
als;20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;47399535;679347464;3060394814
als;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;71568438;1009053803;4511637255
als;15.0.1.j9-adpt;default;2;0;58463013;834611818;3802669220
